ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
1263,157508,57,"[1878.895071996343, 320.3245612921248, 132.74582243441603]",[0.66681718 0.70539548 0.24035821],[ 0.04376289 -0.35904195  0.93229485],[ 0.74393525 -0.61115145 -0.27028549],2.258517169757681,-0.3484902922021527,0.7318562383537038
1270,28951,10,"[1814.6498911954682, 68.78304721771269, 223.78266726537944]",[0.54495389 0.32765981 0.77179292],[-0.50518514 -0.60633573  0.61412129],[-0.66918849  0.7245661   0.16489615],2.395906285378393,-0.2415989848393775,0.8376801520243414
1271,21548,7,"[1799.4518284759606, 120.1027473547429, 164.0855763875998]",[ 0.33302536 -0.11044476  0.93642729],[ 0.6421122   0.75382082 -0.13944926],[ 0.69049695 -0.64773152 -0.32195938],2.324248619036717,-0.4363030033372583,0.8086204776757464
1283,11711,4,"[1807.4549568781488, 250.81086158312698, 265.2578772094612]",[ 0.28667428  0.70876218 -0.64457275],[0.67151943 0.33120459 0.66284626],[ 0.68328582 -0.62286411 -0.38099974],2.309968047404521,-0.5086589288389013,0.81854292753933
1285,38116,13,"[1845.0994333088468, 227.5598436352188, 289.0831671738902]",[ 0.61896832  0.73883249 -0.2664672 ],[ 0.45074327 -0.05631411  0.89087554],[-0.64320193  0.67153203  0.36788042],2.3777393167682654,-0.5195403650074133,0.8721236433341789
1287,22433,8,"[1822.8622119199395, 454.6584941826773, 207.57749743681185]",[ 0.25693251 -0.35464952  0.89900467],[0.62050787 0.77370321 0.12788013],[ 0.74091543 -0.52498291 -0.41885233],2.1872440695565065,-0.5145270498646306,0.736363932206043
1304,28887,10,"[1848.0812822376847, 564.0742894727732, 282.69636860871674]",[ 0.19213165 -0.35552799  0.91470502],[0.71356176 0.69049774 0.11850101],[ 0.67373217 -0.62993073 -0.38635765],2.3226083737733223,-0.5206752665185009,0.831548623690576
1307,264288,96,"[1954.4358578520403, 587.2601593715946, 233.44216914880735]",[ 0.37363983 -0.07964536  0.9241482 ],[ 0.51650236  0.84542227 -0.13596508],[ 0.77046648 -0.5281267  -0.35702045],2.17169952412054,-0.43392666355067155,0.6912237456923221
1312,18720,6,"[1857.2431623931625, 146.44139957264957, 190.01597222222222]",[ 0.52714914 -0.09911822  0.84397237],[ 0.60961808  0.73602714 -0.29432948],[-0.59201316  0.66965635  0.44842033],2.4176570172639247,-0.6482520427830555,0.9372418323267458
1319,214113,78,"[1977.136213121109, 3155.5301779901265, 207.3628644687618]",[ 0.31326711 -0.16498339  0.93522414],[ 0.54306301  0.83900748 -0.0338972 ],[ 0.77906757 -0.51850452 -0.35242982],2.158021980196011,-0.4248262928353189,0.6776191517275766
1323,121086,44,"[1927.2050195728655, 47.512338338040735, 57.859959037378395]",[ 0.25428873 -0.01806046  0.9669597 ],[ 0.6742539   0.72009043 -0.16386412],[-0.69333897  0.69364514  0.19528821],2.3564152389062283,-0.274550507369408,0.8046840180747848
1324,36936,13,"[1896.6947693307343, 228.27122590426683, 179.42300194931775]",[0.54261455 0.10854476 0.83293907],[ 0.45801288  0.79300225 -0.40171088],[ 0.70412617 -0.59947099 -0.38057966],2.276084460898092,-0.49551971362424624,0.7896045540228971
1328,16987,6,"[1887.6093483251898, 398.08482957555776, 242.9765114499323]",[0.77539743 0.47451157 0.41665046],[-0.0420618  -0.61953089  0.78384455],[ 0.63007114 -0.62531611 -0.46042385],2.3524068143246932,-0.6310661936369262,0.889151510718664
