ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
424,41575,15,"[559.8783884546001, 1365.0755021046302, 159.6520745640409]",[0.4397353  0.56236895 0.70026711],[-0.27552668 -0.65763085  0.70114671],[ 0.8548204  -0.50126123 -0.13423585],0.5303547345402242,-0.15576194485567219,0.5455916900411611
425,24176,8,"[548.1393530774321, 996.1491975512905, 162.35961283917936]",[0.45566972 0.84388973 0.28322293],[-0.16006955 -0.23530639  0.95864938],[ 0.87563854 -0.48216287  0.02785905],0.5033355467621319,-0.03180497114611726,0.504039980941122
429,39088,14,"[525.3685785918952, 2523.393982808023, 110.19097932869423]",[-0.05260128 -0.57638432  0.81548404],[0.45976378 0.71093967 0.53214853],[ 0.88648202 -0.40292171 -0.2276043 ],0.42660443862165154,-0.251321484291134,0.4811095221388316
432,90257,32,"[569.4685176772992, 1291.762456097588, 200.3424332738735]",[ 0.40728482  0.86358246 -0.29722788],[0.22722644 0.21939524 0.94880655],[ 0.88458307 -0.45397254 -0.10687242],0.47415579455919005,-0.12023396820471116,0.4851970315670047
433,163020,59,"[570.0018832045148, 2906.479364495154, 249.5367439577966]",[0.38248647 0.6173149  0.6874783 ],[-0.24444806 -0.64993449  0.71960427],[ 0.8910383  -0.44329164 -0.09768972],0.46164568478111867,-0.10919969684941655,0.47116891114107334
434,5516,2,"[524.6410442349529, 1852.3410079767948, 279.91298042059464]",[-0.04986856 -0.70147043  0.71095173],[0.62704414 0.53207218 0.56895943],[ 0.77738586 -0.47417131 -0.41331925],0.5477080756155558,-0.4886679745016688,0.6802971189085846
437,12306,4,"[545.9259710710222, 3516.0293352836015, 205.8690069884609]",[0.52377977 0.37096165 0.7668391 ],[ 0.22813466  0.80623217 -0.54584271],[ 0.82073707 -0.46084395 -0.33765889],0.5116295714907729,-0.3903031510111764,0.6080963601123257
438,7315,2,"[550.4473000683527, 9.25181134654819, 122.08051948051948]",[0.32096935 0.09872721 0.94192973],[ 0.74285967  0.59068204 -0.3150464 ],[-0.58748463  0.80084185  0.11625037],0.9378846205654066,-0.19535448892949764,0.9428493416631271
440,3836,1,"[544.648070907195, 1859.5041710114704, 296.36470281543274]",[0.38623782 0.92172977 0.03513647],[-0.0932067   0.00110277  0.99564617],[ 0.91767797 -0.38783116  0.08633733],0.39985497802580094,-0.0938062551406973,0.40860001639568094
442,92474,33,"[644.9728031662954, 149.1301771308692, 274.9636113934728]",[0.79524956 0.59507767 0.11602029],[-0.00395076 -0.18627307  0.98249007],[-0.60626935  0.78178316  0.14578257],0.9111767419444531,-0.23597838590411852,0.9194352771728894
443,23312,8,"[573.9639670555937, 431.20851921757037, 116.08381949210707]",[-0.37814692 -0.54327975  0.74956789],[0.58685747 0.48552725 0.64796728],[ 0.71596314 -0.68491635 -0.13522715],0.7632394377884655,-0.18667539130990762,0.7727936161595236
444,227734,82,"[608.5848050796104, 2236.065651154417, 90.98734488482177]",[ 0.09483431 -0.02063027  0.99527928],[ 0.61536213  0.78710771 -0.04231898],[ 0.78251895 -0.61647047 -0.0873399 ],0.6672591303157318,-0.11115373299921373,0.6720950528270886
445,18453,6,"[568.20126808649, 1125.4455644068714, 223.5745949168157]",[0.32788426 0.84633747 0.41976755],[ 0.04846656 -0.4588156   0.88720868],[ 0.94347385 -0.27055707 -0.19145748],0.27927255460879213,-0.2002095756685486,0.33783682317162556
446,27903,10,"[566.0894527470165, 2966.0023294986204, 204.21528151094864]",[0.47753824 0.27425379 0.83471078],[ 0.33543069  0.82116731 -0.46170391],[ 0.81206125 -0.50046889 -0.30014565],0.5523146751880841,-0.3540365021301373,0.6231207088920434
447,24530,8,"[576.0944965348552, 3091.4863432531592, 175.04219323277619]",[0.60102218 0.66269172 0.44677961],[-0.0989521  -0.49301054  0.86437786],[ 0.79308311 -0.56372005 -0.23073553],0.6179347030409607,-0.2831195567169529,0.6549422448906183
448,74437,27,"[638.277939734272, 3266.8258258661685, 162.50697905611457]",[0.64676405 0.48034854 0.59242007],[ 0.10984469  0.70998674 -0.69559541],[ 0.75473863 -0.51496031 -0.40643016],0.5987496689869383,-0.49397468403669703,0.7155407086183905
449,2840,1,"[552.9947183098592, 2485.4158450704226, 131.67676056338027]",[ 0.5191888   0.8161186  -0.25375859],[ 0.72003234 -0.25772524  0.6443067 ],[-0.46043069  0.51723122  0.72143984],0.8434312625258858,-1.0027534733226457,1.092316012846538
450,49726,18,"[575.4284881148695, 2789.788943409886, 193.4237622169489]",[-0.29564334 -0.60500691  0.73929808],[0.38854624 0.63083486 0.6716243 ],[ 0.87271234 -0.48581274 -0.04857104],0.5079496734263644,-0.05559791256465598,0.5100658847104341
452,34973,12,"[580.9876190203871, 2898.3664827152375, 290.33251365338975]",[ 0.45410682  0.86869047 -0.19789862],[0.29737451 0.06160121 0.95277158],[ 0.83985439 -0.49151007 -0.23035288],0.5294902625913246,-0.2676940685412598,0.5737814091497159
453,46731,17,"[604.4264834906165, 3078.913676146455, 196.59660610729495]",[0.56729653 0.53962895 0.62207335],[-0.20071247 -0.6420076   0.73995996],[ 0.79867963 -0.5446346  -0.25589842],0.5984875269014387,-0.31006741306100144,0.6456985054933536
455,120559,43,"[664.1261871780622, 1532.3771846150019, 243.08751731517347]",[ 0.54003131  0.67848444 -0.49802113],[0.61000705 0.09215966 0.78701842],[-0.57987722  0.72881099  0.36411119],0.8987145048679939,-0.5606897670643654,0.9522183544497131
457,19920,7,"[594.0684236947791, 727.595732931727, 4.372339357429719]",[0.55050185 0.83356359 0.04603751],[ 0.06375668 -0.09696279  0.99324383],[ 0.83239582 -0.54384737 -0.10652344],0.5787279422101246,-0.12728029596349663,0.5873794147193058
